% This ascii data file is produced by extracting Columns #4 (z), #5 (logFUV), #6 (sigma_logFUV), #7 (logFX), and #8 (sigma_logFX) from 'table3.dat' made available under title 'Quasars as standard candles. III.: J/A+A/642/A150' in VizieR (URL: http://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/642/A150), which is the data used by Lusso, E., et al., A&A 642, A150, 24 (2020); e-print: https://arxiv.org/abs/2008.08586.
%
% Columns:
% z - redshift
% logFUV - rest-frame flux at 2500 Angstroem in units of log(erg/s/cm^2^)
% sigma_logFUV - error on rest-frame flux at 2500 Angstroem
% logFX - rest-frame flux at 2keV in units of log(erg/s/cm^2^)
% sigma_logFX - error on rest-frame flux at 2keV
%
% Credits: 
% Peter Raffai, Gergely Dalya, Alexandra Karsai; 
% Institute of Physics, Eotvos Lorand University, H-1117 Budapest, Pazmany P. s. 1/A.
% All rights reserved. (2021)
% Contact: peter.raffai@ttk.elte.hu
%
% z logFUV sigma_logFUV logFX sigma_logFX
0.6065 -27.6061 0.01944 -31.5526 0.0641
1.0462 -27.3729 0.00974 -31.21298 0.01617
0.6999 -26.9145 0.01116 -29.9957 0.00593
1.7452 -27.662 0.01252 -31.55695 0.05938
1.5203 -27.3382 0.0099 -31.27602 0.03061
3.0602 -27.9218 0.03549 -31.68463 0.08182
0.3063 -26.4232 0.0074 -30.83175 0.01424
2.1666 -27.555 0.01269 -31.87403 0.11188
1.3984 -27.6063 0.01089 -31.70356 0.0311
0.6641 -27.5237 0.01676 -31.25325 0.02392
2.5817 -27.3226 0.01511 -31.40345 0.12331
2.5145 -28.0809 0.04425 -31.76411 0.14493
1.7852 -26.9707 0.01063 -31.39184 0.03049
0.4539 -27.4374 0.02118 -30.86197 0.0246
1.5667 -27.7584 0.01058 -31.59115 0.03553
0.8762 -28.0936 0.02253 -31.63549 0.02182
1.0752 -27.875 0.0163 -31.39327 0.0287
0.8115 -27.5793 0.01469 -31.30798 0.01832
2.4674 -26.4389 0.01143 -31.00758 0.06141
1.6112 -26.9091 0.00717 -30.94949 0.04101
1.4 -27.5514 0.01015 -31.78932 0.06061
1.1203 -27.45 0.01148 -31.22681 0.02496
2.5863 -27.6745 0.0263 -31.59896 0.12344
2.0292 -27.5423 0.01024 -31.72623 0.06601
0.345 -26.7454 0.01232 -30.3943 0.02327
1.0319 -27.4216 0.01488 -31.30995 0.02395
3.09 -27.6327 0.017 -31.923 0.15966
0.864 -27.8965 0.01285 -31.08722 0.01886
1.839 -27.7395 0.01109 -31.26458 0.04388
0.9985 -27.3421 0.00745 -30.98514 0.03477
1.8134 -27.4521 0.00901 -31.38587 0.06651
1.4026 -27.3978 0.00731 -31.42449 0.04521
0.7088 -27.6621 0.01337 -31.11739 0.01951
0.9274 -27.0431 0.00815 -30.92582 0.02461
1.076 -28.2939 0.02237 -31.82587 0.03132
1.6299 -27.4652 0.00839 -31.34161 0.03465
0.9739 -27.1314 0.00774 -31.04717 0.02568
1.4613 -27.4187 0.00757 -31.3933 0.04041
1.8955 -27.8957 0.01105 -31.58278 0.05594
0.1864 -26.8073 0.01688 -29.88992 0.00331
0.9164 -25.9776 0.00784 -30.30584 0.01384
0.2631 -27.0303 0.01014 -30.39882 0.02407
1.985 -26.7467 0.0083 -30.86788 0.03065
1.6919 -27.0496 0.00764 -31.58489 0.03497
2.314 -26.8611 0.00744 -31.19182 0.14493
0.4662 -27.5491 0.01722 -31.11721 0.05461
1.2431 -27.1074 0.00812 -31.36738 0.02342
0.8595 -27.418 0.00827 -31.27346 0.02123
0.5789 -27.299 0.00952 -31.1311 0.03847
0.755 -27.4701 0.00896 -31.36768 0.04253
1.959 -27.1424 0.00893 -31.73739 0.113
0.5177 -27.0197 0.00937 -30.48034 0.01097
0.36 -27.2914 0.0121 -31.16329 0.06642
2.1906 -27.5099 0.00944 -31.56061 0.1062
1.2052 -27.2509 0.00755 -31.6164 0.0508
0.358 -26.8868 0.00874 -30.48348 0.01333
2.262 -27.6325 0.01327 -31.73803 0.14205
0.9994 -27.0228 0.00643 -31.09563 0.02582
0.3684 -27.0715 0.01033 -30.40791 0.01637
0.429 -27.0007 0.01001 -30.68443 0.03687
1.6485 -27.1742 0.00636 -31.42716 0.11367
0.821 -26.8168 0.00915 -30.47332 0.01209
0.656 -27.5437 0.01373 -31.26059 0.0286
0.8874 -27.2969 0.01046 -31.10497 0.02206
0.5776 -27.7266 0.02073 -31.01474 0.02006
0.3216 -26.3696 0.00565 -29.90962 0.01024
1.5096 -26.089 0.0058 -30.37622 0.00523
0.377 -26.5048 0.00781 -30.21162 0.01032
0.1628 -26.5374 0.01095 -29.95585 0.0037
2.531 -27.9014 0.02633 -31.70127 0.06462
1.824 -27.8549 0.01355 -31.68926 0.06437
2.073 -28.4113 0.03569 -32.25889 0.15633
1.009 -28.1994 0.02177 -31.98686 0.02944
0.657 -27.8188 0.01818 -31.51544 0.02916
1.7393 -27.5305 0.00776 -31.52438 0.06226
2.563 -27.7992 0.02787 -32.01277 0.12171
3.08 -27.0226 0.01827 -31.7318 0.12833
0.805 -27.5958 0.01297 -31.33207 0.02602
0.985 -28.1305 0.01959 -31.63523 0.02081
1.0833 -27.451 0.00912 -31.46858 0.05776
3.156 -27.6211 0.02089 -31.888 0.17493
0.996 -28.1028 0.01456 -31.53195 0.02629
1.2953 -27.7775 0.01152 -31.80793 0.05046
2.144 -28.1262 0.02899 -31.49352 0.02785
1.634 -28.046 0.01993 -31.96503 0.05303
1.1992 -27.5598 0.00902 -31.40067 0.03036
1.703 -27.9218 0.01422 -31.71412 0.04753
3.113 -27.0087 0.01509 -31.40598 0.03469
1.1843 -27.2913 0.0066 -30.98846 0.02416
2.34 -28.2214 0.03524 -32.03731 0.11691
1.1939 -27.8253 0.01104 -31.59392 0.05543
0.887 -27.9196 0.013 -31.57034 0.02376
0.691 -27.8287 0.01327 -31.49002 0.0226
1.699 -27.3561 0.00781 -31.5287 0.03208
1.9562 -27.8751 0.01315 -31.52761 0.05738
0.8666 -27.0961 0.00684 -31.43355 0.03507
1.3311 -27.4012 0.00776 -31.4326 0.05938
0.7964 -27.4873 0.00916 -31.17703 0.02439
1.2766 -27.4501 0.00679 -30.99055 0.01562
1.8755 -27.8224 0.00938 -31.92336 0.0952
1.1484 -27.1488 0.00771 -30.92435 0.00846
0.5802 -27.4453 0.01258 -30.94571 0.01664
1.2145 -27.1477 0.00724 -31.44812 0.03242
0.993 -27.5606 0.00742 -30.94196 0.01249
1.198 -27.3999 0.00914 -31.22743 0.01207
1.224 -27.0705 0.00784 -30.88273 0.01977
0.58 -28.0577 0.03349 -31.54413 0.03711
1.643 -27.6743 0.00893 -31.51403 0.04994
1.038 -28.1609 0.01935 -31.89004 0.03831
1.0267 -27.3093 0.00776 -31.18703 0.01947
1.262 -27.7712 0.01068 -31.50514 0.0266
1.305 -27.9171 0.01255 -31.42835 0.02367
1.592 -27.1675 0.00784 -31.51756 0.06499
1.3413 -27.6135 0.01023 -31.63315 0.05295
1.6163 -27.4161 0.00715 -31.99542 0.04986
1.56 -27.4444 0.00828 -31.54936 0.0662
1.1013 -27.7543 0.00908 -30.93465 0.00959
1.0659 -27.0346 0.00756 -31.17094 0.02037
0.935 -27.6655 0.00901 -31.13362 0.01783
2.345 -28.0268 0.02259 -31.87112 0.10574
1.8298 -27.5311 0.00993 -31.67478 0.03763
2.577 -27.3601 0.01054 -31.37774 0.10421
0.707 -27.3817 0.01101 -30.73605 0.00584
1.596 -27.2263 0.00811 -31.32134 0.01801
2.866 -27.9544 0.03982 -32.02704 0.1106
0.7259 -27.3847 0.0107 -31.44183 0.01871
0.8087 -26.9821 0.00712 -30.65841 0.00599
0.554 -27.5684 0.01381 -31.13943 0.03902
0.5284 -27.5571 0.01343 -31.08846 0.02877
1.0899 -27.634 0.01111 -31.03033 0.00874
0.4531 -27.5689 0.0246 -31.03929 0.02902
1.5997 -27.5014 0.00857 -31.44838 0.03532
1.5215 -27.4524 0.27973 -31.48084 0.05879
0.282 -26.4472 0.00523 -30.34597 0.03246
0.9575 -27.5541 0.00925 -31.68977 0.04671
0.7035 -27.1963 0.01089 -30.84536 0.02833
1.2268 -27.2426 0.01458 -31.27438 0.03246
0.963 -27.3033 0.01157 -30.92976 0.01382
1.9902 -27.794 0.0106 -31.83966 0.10193
3.293 -26.6367 0.01567 -30.75459 0.02307
0.6457 -27.7866 0.0179 -31.26796 0.03013
1.1896 -27.713 0.00854 -31.67132 0.04986
0.4987 -26.9552 0.0103 -30.87815 0.04759
0.5394 -27.2654 0.0123 -30.6974 0.02387
1.3463 -27.3798 0.00827 -31.78392 0.05719
1.826 -26.9298 0.0064 -31.10051 0.01632
1.1325 -27.1472 0.00839 -31.06381 0.02976
0.7919 -26.365 0.0072 -30.8349 0.01693
1.2974 -27.4123 0.00814 -31.58557 0.0577
1.8722 -26.9396 0.00826 -31.35848 0.03551
1.5881 -27.5336 0.00775 -31.42784 0.04499
0.773 -27.9863 0.01726 -31.27214 0.01846
0.5713 -27.2603 0.01086 -31.04575 0.04226
0.939 -28.1576 0.01621 -31.72797 0.02125
0.9304 -27.1057 0.00614 -31.14696 0.03215
1.276 -27.602 0.00858 -31.22306 0.01775
2.272 -27.6733 0.01231 -31.62166 0.08309
0.8245 -27.8924 0.01283 -31.52883 0.02522
1.9049 -28.5286 0.03706 -32.03856 0.04842
0.5211 -27.45 0.01321 -31.39708 0.03873
0.5258 -27.1054 0.00935 -30.68849 0.00735
1.443 -27.7165 0.01161 -31.42052 0.04182
0.795 -27.3651 0.00916 -31.1902 0.02777
0.9632 -27.3097 0.00631 -31.41562 0.04204
1.7117 -27.5054 0.00899 -31.60812 0.07766
1.2885 -27.9132 0.0115 -31.73699 0.04545
1.5845 -27.4937 0.00717 -31.59358 0.06753
2.6729 -27.6329 0.01868 -31.55463 0.098
0.2147 -27.022 0.00947 -30.94861 0.03203
0.4383 -27.2136 0.01243 -30.35325 0.01437
0.5387 -27.1539 0.01297 -30.90596 0.02112
0.8309 -27.8594 0.01384 -31.59277 0.02688
0.7647 -27.6138 0.01223 -31.22107 0.02152
2.836 -27.5413 0.01461 -31.59225 0.12247
1.0833 -27.5265 0.00976 -31.03895 0.01436
0.2262 -26.9806 0.00987 -30.52467 0.01072
0.2843 -26.9515 0.01696 -30.50733 0.01638
0.906 -26.4869 0.00816 -30.48192 0.02611
2.87 -27.7917 0.02577 -31.76715 0.17892
1.87 -27.1672 0.00603 -31.2001 0.02835
0.9395 -27.5472 0.00853 -31.60455 0.03175
2.0408 -27.2859 0.01067 -31.39932 0.09139
1.3091 -27.2978 0.00784 -31.1577 0.02294
1.6729 -27.774 0.00942 -31.12669 0.01566
1.053 -27.6568 0.01018 -31.08783 0.01141
0.5267 -26.9529 0.00852 -31.31584 0.0489
0.567 -27.6567 0.01543 -31.29481 0.02449
1.2134 -27.7478 0.01066 -31.45901 0.02709
1.0338 -27.2262 0.01034 -30.88527 0.01421
0.5866 -26.4161 0.00777 -30.67378 0.01152
0.9363 -27.524 0.00928 -31.52956 0.03592
0.65 -27.3692 0.01259 -31.00258 0.02265
0.6451 -27.7407 0.01765 -31.4211 0.02728
1.8628 -27.4116 0.00616 -31.35436 0.0257
0.9002 -27.3819 0.00872 -31.44043 0.02017
2.879 -27.957 0.04489 -31.99816 0.08805
2.398 -27.7321 0.01241 -31.81863 0.17125
1.3295 -27.3692 0.01001 -31.94119 0.05195
0.4688 -26.4766 0.00778 -30.14151 0.01511
2.151 -27.546 0.00937 -31.67794 0.13498
0.602 -27.8893 0.01707 -31.52106 0.03665
0.4232 -27.0535 0.00962 -31.0005 0.05917
0.2313 -26.645 0.01068 -30.61702 0.03648
0.6157 -27.0115 0.00949 -30.85823 0.01373
1.6754 -27.7057 0.00882 -31.47694 0.03985
1.3259 -27.5705 0.01001 -31.26012 0.04266
1.7725 -28.0166 0.01445 -31.68727 0.06629
0.9341 -27.5555 0.0113 -31.53277 0.03867
1.7785 -27.5399 0.00976 -31.15537 0.04595
2.482 -28.024 0.03607 -32.03824 0.09213
1.306 -27.8985 0.01233 -31.7206 0.04056
1.847 -28.0947 0.01888 -31.40568 0.02232
1.2482 -27.0349 0.01448 -31.48123 0.02641
0.392 -26.8716 0.01125 -30.8615 0.0164
1.8125 -27.4886 0.0123 -31.51964 0.08306
0.697 -27.6906 0.01382 -31.28272 0.01378
0.23 -26.7015 0.00525 -30.082 0.02155
0.9366 -27.4827 0.00887 -31.45405 0.04891
0.8742 -27.3768 0.01213 -31.10175 0.02323
1.4883 -27.1609 0.00865 -31.31741 0.02946
0.2057 -25.9766 0.01204 -29.65658 0.00304
0.6291 -26.9783 0.00962 -30.75721 0.02035
0.4997 -27.3753 0.01345 -30.83114 0.01205
1.4554 -27.246 0.0099 -31.4255 0.08156
0.699 -27.4333 0.01057 -31.21678 0.02222
1.2463 -27.6798 0.00917 -32.14705 0.03742
1.6573 -27.7243 0.00973 -31.46265 0.02895
2.196 -27.5018 0.01698 -31.68924 0.18659
1.4428 -27.3858 0.00727 -31.22483 0.04407
1.864 -27.7925 0.00951 -31.27797 0.04959
1.9752 -26.979 0.01277 -31.36673 0.0623
2.0347 -27.4725 0.01245 -31.41797 0.05995
1.2968 -26.8811 0.00786 -31.16176 0.04063
1.1109 -27.4504 0.00972 -31.52009 0.02262
2.0336 -27.3982 0.00845 -31.87968 0.12222
1.964 -26.9359 0.0091 -31.45664 0.04696
1.8871 -27.5629 0.00911 -31.4918 0.05779
1.3366 -27.873 0.01338 -31.92806 0.05668
1.2882 -26.6413 0.00766 -30.96525 0.02752
1.4073 -27.5458 0.00928 -31.32392 0.0334
2.455 -27.459 0.01551 -31.34005 0.09385
1.5563 -27.2394 0.01257 -31.2124 0.0441
2.123 -28.281 0.03206 -31.8641 0.05534
1.2348 -27.3071 0.00727 -31.14077 0.02651
2.699 -27.6737 0.01678 -31.7249 0.09206
0.471 -27.4506 0.01526 -30.99056 0.02032
0.3525 -26.9405 0.01202 -30.62274 0.0742
1.0665 -27.4413 0.00855 -31.23848 0.01955
1.7535 -27.5727 0.0081 -31.4724 0.05623
0.7661 -27.3805 0.00933 -31.24945 0.02356
0.6984 -27.3746 0.01338 -31.09317 0.02726
2.4978 -27.7196 0.02042 -31.69931 0.10516
2.288 -27.6954 0.01463 -31.65645 0.06511
1.3212 -27.3712 0.00956 -31.46697 0.0419
0.3726 -26.9913 0.012 -30.54399 0.00981
1.3553 -27.1816 0.00997 -31.15543 0.06262
1.404 -27.6652 0.00999 -31.45896 0.03786
0.1948 -26.8798 0.01122 -30.36191 0.00794
0.4986 -27.1079 0.01204 -30.83051 0.00928
1.5571 -27.8314 0.0113 -31.52433 0.04791
2.108 -26.8914 0.00668 -31.04825 0.08841
1.6127 -27.4544 0.00915 -31.71606 0.04231
1.7961 -27.5029 0.00893 -31.58412 0.09011
2.0541 -27.7435 0.01039 -31.8242 0.06465
1.5149 -27.3799 0.00785 -31.36341 0.03176
1.8342 -27.8784 0.01321 -32.17268 0.10325
1.4173 -26.537 0.01044 -30.0441 0.01625
1.5845 -27.5177 0.00839 -31.55249 0.04073
2.96 -27.9416 0.02398 -31.87563 0.21972
1.3548 -27.7655 0.01226 -31.75751 0.04277
2.1158 -27.6034 0.01321 -31.45002 0.10223
1.6118 -27.5808 0.00921 -31.56719 0.03569
2.514 -27.8478 0.02377 -32.22585 0.15643
0.9877 -27.8259 0.01012 -31.64573 0.03081
1.1607 -27.628 0.00936 -31.36782 0.03169
1.5103 -27.7829 0.00965 -31.7399 0.04385
1.2923 -27.8679 0.01174 -31.45202 0.02624
0.6576 -27.2988 0.01092 -31.13211 0.02609
2.889 -27.5376 0.01274 -31.48357 0.17509
1.5045 -27.3942 0.00819 -31.42932 0.03742
1.5163 -27.8154 0.01004 -32.04438 0.05998
1.318 -27.9816 0.01302 -31.77254 0.04449
1.646 -27.6162 0.01018 -31.5174 0.08043
1.5366 -27.4479 0.0089 -31.18056 0.02352
2.0055 -27.6029 0.01097 -31.83267 0.12923
1.7996 -27.8564 0.01168 -31.40574 0.04247
0.6736 -27.2731 0.01432 -31.08299 0.02305
2.0368 -27.9494 0.01306 -31.63667 0.12765
0.3287 -25.9264 0.00779 -30.04161 0.00378
1.731 -27.2977 0.01133 -30.4167 0.00661
0.9398 -28.0854 0.01779 -31.64503 0.02208
1.857 -27.8478 0.01247 -31.4569 0.03354
0.8147 -27.1344 0.00765 -31.08751 0.03164
0.4385 -26.992 0.01267 -30.54787 0.02367
1.284 -26.7838 0.00854 -31.06938 0.01357
1.2895 -27.7429 0.0121 -31.50073 0.03664
0.3879 -27.5222 0.01752 -30.95351 0.02297
1.4569 -27.3391 0.00677 -31.3339 0.02533
1.9244 -28.3108 0.02159 -31.8319 0.05578
1.574 -27.9871 0.012 -32.26127 0.10081
2.64 -26.3412 0.00569 -30.88071 0.04309
1.921 -27.1834 0.00873 -31.48457 0.06979
2.1026 -27.9613 0.01498 -31.66422 0.05492
1.377 -28.193 0.01813 -32.06869 0.06741
0.629 -27.3173 0.01998 -30.95328 0.01437
0.8436 -27.1657 0.01519 -31.30559 0.0235
1.3971 -27.2388 0.00667 -31.46699 0.06485
1.585 -28.0066 0.01502 -31.81718 0.05842
0.5772 -26.9748 0.00907 -30.53139 0.0117
2.1226 -27.7437 0.00999 -31.79884 0.0738
0.896 -27.4307 0.01019 -31.29609 0.01977
1.123 -27.6416 0.0085 -31.44214 0.02738
1.75 -27.7648 0.01224 -31.75107 0.08843
2.319 -27.3529 0.00932 -31.49393 0.08596
1.5652 -27.0771 0.00978 -31.09877 0.039
1.0072 -27.0506 0.00837 -31.1175 0.02058
0.6559 -27.1151 0.01055 -30.84584 0.01146
1.1651 -27.1254 0.00789 -31.51938 0.04258
0.902 -27.5481 0.01063 -31.09132 0.01605
1.5935 -27.8472 0.01163 -31.66501 0.08589
1.0864 -27.1738 0.00785 -31.18619 0.02138
1.7613 -27.1311 0.00749 -32.1009 0.06934
1.5855 -27.5043 0.00973 -31.24541 0.06173
0.876 -27.87 0.01147 -31.35724 0.01734
1.5795 -27.7266 0.01061 -31.89181 0.07667
1.8089 -27.5754 0.00959 -31.67912 0.03533
0.623 -27.8477 0.01606 -31.25834 0.02543
0.8763 -27.2583 0.00574 -31.334 0.01831
0.812 -27.6002 0.01384 -31.33896 0.02405
1.4232 -27.9993 0.01214 -31.70507 0.03958
1.6352 -27.2037 0.00791 -31.832 0.07665
2.358 -27.264 0.00995 -31.38821 0.04444
1.758 -27.8719 0.01207 -31.76845 0.06343
1.5964 -27.7712 0.00967 -31.88316 0.08148
1.249 -27.7123 0.00887 -32.01865 0.06279
0.837 -27.7439 0.01427 -31.57523 0.03871
0.5829 -27.1085 0.01009 -30.97325 0.02052
0.9704 -27.4948 0.00895 -31.18638 0.03145
1.185 -26.9444 0.0071 -31.25765 0.01216
1.3766 -27.8759 0.01175 -31.58096 0.04889
2.639 -28.2081 0.04694 -31.69529 0.08421
1.962 -27.9717 0.01437 -31.70948 0.05429
1.0749 -27.5105 0.01205 -31.1879 0.02439
1.0064 -27.5871 0.0094 -31.09044 0.01917
0.841 -27.9409 0.01451 -31.78875 0.04193
2.425 -27.5123 0.01051 -31.67246 0.12424
1.2672 -27.6503 0.01542 -31.84514 0.06421
1.8717 -27.9382 0.01002 -31.76888 0.10794
2.161 -28.046 0.0201 -31.68859 0.14457
0.4921 -26.8966 0.00706 -30.73776 0.01269
1.134 -27.8297 0.01019 -31.59415 0.04122
1.168 -27.5637 0.00822 -31.24755 0.03553
1.7795 -27.142 0.0087 -31.10607 0.04715
1.9705 -27.535 0.01027 -31.51272 0.14372
1.26 -27.5545 0.00931 -31.46539 0.02238
0.945 -28.1084 0.01495 -31.46 0.02135
0.715 -28.1012 0.01983 -31.58743 0.01892
2.708 -27.5835 0.01749 -31.87187 0.09011
0.7451 -26.8246 0.00737 -30.90334 0.02498
2.093 -28.3623 0.0292 -31.42155 0.02767
1.0837 -27.5768 0.00919 -31.61359 0.02549
0.9641 -27.3518 0.00871 -31.65115 0.04599
1.226 -28.2223 0.01872 -31.5164 0.02582
0.727 -27.2274 0.0096 -30.98276 0.02709
0.351 -27.3018 0.0133 -31.1264 0.0234
1.0134 -26.5993 0.00779 -30.28287 0.00668
0.2291 -27.1184 0.0128 -30.32583 0.00916
0.4716 -27.9399 0.0288 -31.70879 0.06012
0.772 -27.5811 0.01137 -31.25232 0.02427
2.455 -27.7937 0.01674 -32.1885 0.13216
0.9981 -27.423 0.00894 -31.45362 0.03614
1.501 -26.9516 0.00808 -31.18001 0.02586
1.1696 -27.4585 0.01026 -31.74973 0.02891
0.5623 -27.13 0.00865 -30.5753 0.00744
1.5041 -27.445 0.00752 -31.38882 0.02216
2.119 -28.416 0.03444 -31.70039 0.03486
2.387 -28.0767 0.04168 -31.77182 0.14958
0.473 -27.805 0.0334 -31.1701 0.02271
0.8908 -26.878 0.01157 -30.86517 0.00696
1.7513 -28.2377 0.01708 -32.02406 0.06459
0.9114 -27.1997 0.00874 -31.46203 0.03143
2.513 -27.5761 0.01382 -31.53265 0.08823
0.907 -27.2869 0.00883 -31.17817 0.01758
1.4655 -27.4519 0.00743 -31.46014 0.04145
1.1119 -27.0743 0.00969 -30.88855 0.0199
1.0319 -27.4075 0.00902 -30.93255 0.02059
0.3853 -26.6546 0.01019 -30.80602 0.0105
0.6635 -27.7919 0.01341 -31.58097 0.038
0.8507 -27.2015 0.01024 -31.09893 0.01548
0.6387 -27.3405 0.00962 -30.91794 0.01023
1.0833 -26.9784 0.01053 -30.99252 0.01842
1.1456 -28.1309 0.01503 -31.91609 0.04859
0.625 -26.6924 0.00764 -30.65896 0.02143
1.2846 -27.4527 0.01094 -31.3609 0.03116
2.555 -27.6941 0.0199 -31.61548 0.1753
0.703 -26.5644 0.00726 -30.39772 0.00673
2.498 -27.8213 0.02046 -31.76388 0.05971
1.9466 -28.1844 0.01804 -31.6512 0.04869
0.5035 -27.6566 0.01597 -31.12714 0.04033
0.1671 -26.1435 0.00839 -29.79423 0.00395
1.894 -28.3864 0.02247 -32.03141 0.04869
1.7231 -27.9051 0.01637 -31.42404 0.03019
0.9677 -26.8687 0.00887 -31.32409 0.03004
1.522 -27.7352 0.01141 -31.7735 0.05927
0.4438 -27.2577 0.01094 -30.52848 0.01371
0.397 -26.0099 0.0083 -30.23579 0.01202
1.1119 -26.9386 0.00798 -30.97585 0.0132
2.1425 -28.0768 0.01833 -31.64373 0.08903
2.212 -27.9163 0.01474 -32.00902 0.12823
2.835 -28.2218 0.0544 -32.13185 0.09357
0.4663 -27.9218 0.02451 -31.53349 0.03501
1.446 -28.4281 0.02193 -32.32198 0.06839
2.944 -28.1175 0.03775 -32.04538 0.10065
1.5718 -28.1638 0.01635 -31.89493 0.05154
1.2046 -27.516 0.00754 -30.76903 0.01721
1.8201 -28.2928 0.02377 -31.4474 0.04557
1.7256 -28.0952 0.01763 -31.57872 0.03778
1.1021 -27.0226 0.0076 -31.46631 0.03892
1.095 -27.5876 0.01284 -31.8554 0.04797
2.312 -27.1817 0.0099 -31.40182 0.08303
1.024 -27.8021 0.00909 -31.46466 0.0206
0.945 -27.8354 0.00899 -31.25924 0.02482
0.656 -27.6399 0.0119 -31.03336 0.01796
0.7202 -27.0478 0.00789 -31.1349 0.01806
1.7674 -27.446 0.0088 -31.53343 0.02549
1.528 -28.4651 0.03171 -32.08886 0.09798
2.266 -27.548 0.01343 -31.69433 0.08027
1.5873 -27.139 0.00718 -31.12162 0.02721
2.179 -27.3762 0.00984 -31.84866 0.1707
2.607 -27.5494 0.01733 -31.34925 0.06453
1.74 -28.3092 0.02404 -31.58162 0.02988
0.765 -26.7158 0.0117 -30.59592 0.05497
2.98 -27.6437 0.0157 -31.55296 0.23755
1.9429 -27.2887 0.00598 -31.46446 0.11259
0.548 -27.546 0.01343 -30.9639 0.02549
2.205 -26.3061 0.00947 -31.09247 0.07114
1.6152 -26.9216 0.00866 -31.05578 0.06859
1.6201 -27.3562 0.00621 -31.49012 0.03653
0.939 -27.4084 0.01109 -31.64567 0.02923
1.521 -27.4234 0.00815 -31.43457 0.0464
1.945 -27.6858 0.00929 -31.59789 0.05782
2.13 -27.9465 0.0132 -31.84518 0.11408
0.2623 -26.679 0.00917 -30.56812 0.01129
1.8824 -28.1329 0.01591 -31.93145 0.10447
2.959 -26.6231 0.01188 -31.29582 0.06621
1.3654 -27.973 0.01099 -31.41828 0.02893
3.0353 -27.1047 0.01887 -31.8774 0.09607
1.7226 -27.4992 0.00857 -31.60143 0.06003
0.5585 -26.9234 0.009 -30.29532 0.01182
1.3948 -27.7577 0.00832 -31.55463 0.04116
0.7661 -27.2596 0.00789 -31.4073 0.02593
0.785 -28.0091 0.01539 -31.47567 0.02241
0.8491 -27.2207 0.01314 -31.20395 0.02407
0.4092 -27.0273 0.01003 -30.54076 0.01735
2.376 -28.3005 0.04407 -31.85704 0.09437
2.189 -26.7407 0.00778 -30.98098 0.02971
2.389 -27.7981 0.01551 -31.62915 0.11594
0.953 -27.221 0.00951 -30.83123 0.01713
0.9779 -27.252 0.00711 -31.53295 0.04645
1.2166 -27.065 0.00713 -31.57229 0.04895
1.9605 -27.2911 0.00832 -32.07979 0.09369
0.646 -27.6474 0.01439 -31.33176 0.05612
0.99 -28.2683 0.02765 -31.59624 0.01762
1.735 -26.3145 0.00896 -30.49274 0.00576
2.533 -27.7912 0.0203 -31.68225 0.04886
0.1545 -25.8404 0.00733 -29.69076 0.00424
1.4615 -27.4485 0.00905 -31.31053 0.0203
1.919 -27.5208 0.00786 -31.57574 0.07124
1.2647 -27.1529 0.00747 -31.18153 0.03274
2.042 -27.3691 0.0076 -31.65356 0.05645
0.176 -25.2439 0.01202 -29.2833 0.00215
1.283 -27.8456 0.00982 -31.31002 0.02542
2.054 -28.7459 0.05969 -32.53037 0.12254
1.9286 -26.7028 0.00607 -31.30546 0.07567
0.9824 -27.3367 0.00758 -31.0118 0.01066
0.786 -27.6106 0.01372 -31.45221 0.02471
0.4633 -27.4774 0.01992 -31.83396 0.09857
1.874 -27.1781 0.00727 -31.2753 0.03717
1.0002 -26.4769 0.01262 -30.6595 0.01529
2.228 -27.7948 0.01658 -31.7323 0.0738
1.902 -27.614 0.0116 -31.6276 0.06295
1.0374 -26.9323 0.00696 -30.71381 0.01568
0.2717 -27.0288 0.01384 -30.703 0.02199
1.958 -27.7113 0.00886 -31.76116 0.10673
1.2511 -27.4081 0.00873 -31.19253 0.02009
1.2118 -27.2527 0.01003 -32.07846 0.05488
0.416 -27.3716 0.01655 -31.1286 0.02055
1.5479 -27.5819 0.00808 -31.67576 0.07424
1.0716 -27.4103 0.00819 -31.47184 0.03281
1.3472 -27.2197 0.01115 -31.05961 0.03909
1.8056 -27.7187 0.01163 -31.46996 0.04096
0.837 -27.3363 0.00939 -31.46288 0.04759
2.2973 -27.0363 0.00902 -30.99936 0.04828
2.06 -27.7089 0.0111 -31.7417 0.11699
1.4994 -27.4383 0.00928 -31.50348 0.0588
1.235 -27.7238 0.01063 -31.71847 0.05189
0.644 -27.6326 0.01437 -31.39025 0.02477
1.2221 -27.9171 0.01296 -31.72714 0.03464
1.1297 -27.4261 0.01005 -31.17259 0.02314
1.787 -27.599 0.00924 -31.72167 0.11863
2.19 -28.1014 0.01935 -31.26975 0.03377
1.162 -27.5065 0.00886 -31.55184 0.03739
0.776 -27.4064 0.0092 -31.36135 0.02077
2.4427 -27.4983 0.01436 -31.05909 0.06047
1.088 -27.6385 0.01117 -31.35631 0.02654
2.148 -27.7484 0.01315 -31.37724 0.03626
1.6058 -27.3671 0.00965 -31.46743 0.0523
0.3477 -26.922 0.01297 -30.66677 0.02697
1.6756 -27.3894 0.00806 -31.03086 0.02368
0.8034 -26.9417 0.01755 -30.8229 0.01183
