% This file was produced by combining data in 'SCPUnion2.1_AllSNe.tex' and 'SCPUnion2.1_mu_vs_z.txt', both of them downloaded from the Union2.1 Supernova Cosmology Project website: http://supernova.lbl.gov/Union/ (see under titles 'Full Table of All SNe' and 'Union2.1 Compilation Magnitude vs. Redshift Table (for your own cosmology fitter)'). The data was originally used in Suzuki et al., ApJ 746, 1, 85, 24 (2012); e-print: https://arxiv.org/abs/1105.3470
%
% Columns:
% z - redshift
% m_B^max - apparent magnitude in the B-band at maximum light
% sigma_mB - 1 sigma uncertainty of m_B^max
% x1 - stretch (the deviation of the SNIa lightcurve from the average lightcurve shape)
% sigma_x1 - 1 sigma uncertainty of x1
% c - color (the deviation of the SNIa B−V color from the mean SNIa B−V color)
% sigma_c - 1 sigma uncertainty of c
% P(true<thresh.) - probability that the host galaxy belongs in a low-host-mass category; for an explanation of this, see Section 4.1 in Suzuki et al. 2012
% Sample - an integer number from 1-19 indicating which survey sample the SNIa data was taken from. The names of the surveys are listed in a reversed order in Figure 3 of Suzuki et al. 2012.
%
% Credits: 
% Peter Raffai, Gergely Dalya, Alexandra Karsai; 
% Institute of Physics, Eotvos Lorand University, H-1117 Budapest, Pazmany P. s. 1/A.
% All rights reserved. (2021)
% Contact: peter.raffai@ttk.elte.hu
%
% z	m_B^max	sigma_mB	x1	sigma_x1	c	sigma_c	P(true<thresh.)	Sample
0.374	23.35	0.24	1.42	0.84	-0.15	0.43	0.551671793295	10
0.18	20.15	0.14	0.23	0.25	-0.29	0.13	0.551671793295	10
0.55	23.59	0.1	2.13	1.09	-0.48	0.34	0.551671793295	10
0.592	24.28	0.12	3.16	1.67	-0.08	0.2	0.551671793295	10
0.172	20.43	0.12	0.23	0.15	0.19	0.1	0.551671793295	10
0.526	23.18	0.06	-0.53	0.56	0.19	0.12	0.551671793295	10
0.763	24.27	0.27	-0.86	1.4	-0.41	0.23	0.551671793295	10
0.58	23.49	0.08	3.49	1.02	-0.04	0.11	0.551671793295	10
0.43	23.2	0.06	-0.21	0.75	0.27	0.1	0.551671793295	10
0.45	23.22	0.09	-0.24	0.81	0.09	0.17	0.551671793295	10
0.656	23.74	0.1	-1.15	1.21	-0.1	0.15	0.551671793295	10
0.495	22.82	0.05	-0.91	0.67	-0.05	0.06	0.551671793295	10
0.49	23.06	0.05	0.1	0.59	0.24	0.07	0.551671793295	10
0.57	23.27	0.06	0.29	0.72	-0.03	0.08	0.551671793295	10
0.388	22.49	0.08	-0.51	0.45	-0.2	0.1	0.551671793295	10
0.45	22.6	0.1	-0.06	0.75	-0.21	0.14	0.551671793295	10
0.48	23.05	0.07	-1.51	0.72	0	0.14	0.551671793295	10
0.615	23.16	0.08	0.87	0.76	0.01	0.13	0.551671793295	10
0.4	22.2	0.08	2.54	0.77	-0.21	0.1	0.551671793295	10
0.655	23.17	0.08	1.12	0.61	0.12	0.1	0.551671793295	10
0.498	23.66	0.08	0.26	1.39	0	0.2	0.551671793295	10
0.465	23.41	0.08	0.42	0.72	0.38	0.19	0.551671793295	10
0.453	23.18	0.1	-0.98	0.81	-0.19	0.15	0.551671793295	10
0.425	22.33	0.21	-1.18	1.6	0.11	0.15	0.551671793295	10
0.514	22.78	0.26	1.68	1.1	-0.2	0.27	0.551671793295	11
0.423	22.62	0.07	-2.08	2.88	0.04	0.19	0.551671793295	11
0.859	24.68	0.1	-1.09	0.82	-0.1	0.09	0.551671793295	11
0.936	24.82	0.17	-2.05	1.78	0.23	0.25	0.551671793295	11
0.528	23.03	0.11	-1.17	0.89	-0.11	0.09	0.551671793295	11
0.978	24.44	0.11	-0.54	0.78	0.07	0.1	0.551671793295	11
0.885	24.17	0.1	0.99	0.6	-0.24	0.1	0.551671793295	11
0.815	24.83	0.25	0.09	2.51	0.03	0.37	0.551671793295	11
0.698	24.39	0.14	-3.29	1.6	-0.2	0.14	0.551671793295	11
0.568	23	0.08	0.62	0.74	-0.14	0.09	0.551671793295	11
0.711	23.81	0.11	0.36	0.99	-0.17	0.15	0.551671793295	11
0.3396	22.03	0.1	-1.72	0.59	0.01	0.09	0.551671793295	11
0.3965	22.39	0.07	0.79	0.3	0.12	0.05	0.551671793295	11
0.812	24.86	0.11	-2.65	1.84	0.07	0.15	0.551671793295	11
0.799	24.69	0.08	1.87	1.14	0.34	0.08	0.551671793295	11
0.882	24.71	0.16	1.78	1.45	0.34	0.27	0.551671793295	11
0.833	24.22	0.11	1.5	1.05	0	0.21	0.551671793295	11
0.874	25.07	0.12	-0.39	1.29	0.42	0.15	0.551671793295	11
0.772	23.71	0.08	0.02	0.37	-0.2	0.04	0.551671793295	11
0.178	21.58	0.12	-1.86	0.45	0.49	0.09	0.551671793295	12
0.26	21.31	0.04	1.29	0.33	-0.02	0.04	0.551671793295	12
0.186	20.78	0.03	-0.77	0.19	0.11	0.02	0.551671793295	12
0.269	21.8	0.05	-1.51	0.51	0.06	0.07	0.551671793295	12
0.215	20.94	0.03	0.74	0.26	-0.02	0.03	0.551671793295	12
0.543	23.03	0.06	0.69	0.25	-0.03	0.03	0.551671793295	13
0.75	23.86	0.08	-0.09	0.37	-0.04	0.04	0.551671793295	13
0.64	23.83	0.07	-2.27	0.39	0.03	0.06	0.551671793295	13
0.43	22.87	0.05	-0.7	0.33	-0.04	0.05	0.551671793295	13
0.64	23.65	0.07	0.23	0.47	-0.08	0.06	0.551671793295	13
0.497	23.1	0.07	1.05	0.42	0.08	0.05	0.551671793295	13
0.44	23.19	0.05	0.53	0.29	0.22	0.04	0.551671793295	13
0.355	22.66	0.06	-1.55	0.5	0.17	0.08	0.551671793295	13
0.78	24.23	0.08	0.94	0.51	0.02	0.05	0.551671793295	13
0.54	23.15	0.05	-0.57	0.32	-0.02	0.03	0.551671793295	13
0.86	24.47	0.09	0.03	0.53	-0.06	0.05	0.551671793295	13
0.468	23.81	0.05	0.47	0.37	0.25	0.04	0.551671793295	14
0.84	24.32	0.08	0.76	0.49	-0.07	0.07	0.910256228198	14
0.96	24.56	0.11	0.68	0.49	0.13	0.08	0.551671793295	14
0.8218	24.34	0.08	-0.36	0.29	-0.08	0.06	0.0	14
0.93	24.69	0.1	-1.03	0.33	0.12	0.09	0.551671793295	14
0.451	23.22	0.05	-0.19	0.15	0.28	0.02	0.551671793295	14
0.61	23.55	0.06	-1.15	0.19	-0.07	0.03	0.0	14
0.83	24.11	0.08	0.84	0.33	-0.21	0.06	0.019019116792	14
0.707	24.13	0.08	-1.95	0.54	-0.04	0.08	0.999999011725	14
0.415	22.52	0.04	0.18	0.19	-0.01	0.02	0.125506643627	14
0.557	22.98	0.06	-0.46	0.47	-0.14	0.03	0.551671793295	14
0.791	24.2	0.08	-0.17	0.42	-0.04	0.05	0.424378352473	14
0.695	24.03	0.08	-2.36	0.41	-0.06	0.06	0.048213467444	14
0.633	23.7	0.06	-0.47	0.32	-0.05	0.04	1.0	14
0.2486	21.23	0.07	0.55	0.22	-0.01	0.05	0.551671793295	14
0.532	23.48	0.06	-0.36	0.27	0.07	0.03	0.551671793295	14
0.331	21.81	0.04	0.21	0.19	0.03	0.02	0.0	14
0.346	22.41	0.05	-1.15	0.22	0.09	0.04	9.00002294912e-12	14
0.961	24.55	0.11	0.07	0.53	-0.16	0.11	9.6749703e-05	14
0.613	24.02	0.06	-1.41	0.35	0.07	0.03	0.000122102116	14
0.3402	22.09	0.04	0.5	0.18	0.04	0.01	1.0	14
0.983	24.97	0.14	-1.37	0.46	-0.03	0.14	1.0	14
0.71	24.21	0.07	0.18	0.33	0.21	0.04	0.551671793295	14
0.73	24.08	0.07	-0.76	0.4	-0	0.05	1.0	14
0.47	23.51	0.05	-2.33	0.29	0.16	0.03	0.551671793295	14
0.62	23.76	0.07	-0.95	0.28	-0.03	0.04	0.964610252373	14
0.521	23.29	0.05	0.93	0.3	0.21	0.03	0.998949555959	14
0.369	22.36	0.11	-0.98	0.44	-0.03	0.05	7.25190000272e-08	14
0.571	23.19	0.07	-0.59	0.45	0	0.04	0.999999999363	14
0.604	23.27	0.06	0.89	0.21	0.05	0.03	0.991658804539	14
0.9271	24.55	0.1	-0.14	0.29	-0.05	0.08	0.846559054956	14
0.285	21.2	0.03	0.79	0.15	-0.1	0.01	5.69999603073e-11	14
0.2912	21.96	0.06	0.46	0.28	0.2	0.03	0.005691513851	14
0.548	24.04	0.07	-2.2	0.43	0.31	0.06	0.551671793295	14
0.868	24.31	0.09	0.19	0.37	0.05	0.07	0.921233644992	14
0.496	22.96	0.05	-1	0.17	-0.02	0.03	0.0	14
0.811	24.36	0.08	0.51	0.34	0.12	0.06	1.0	14
0.756	24.06	0.08	-1.84	0.48	-0.28	0.05	0.551671793295	14
0.817	24.24	0.09	1.39	0.72	0.02	0.07	1.0	14
0.752	23.84	0.08	0.33	0.44	-0.06	0.05	0.999999999949	14
0.5516	23.46	0.05	-0.91	0.16	0.15	0.02	0.0	14
0.3578	22.52	0.04	-0.41	0.13	0.14	0.02	0.0027167408	14
1.01	24.88	0.13	0.47	0.56	0.08	0.12	0.999785771595	14
0.741	24.09	0.08	0.02	0.43	-0.12	0.05	0.0	14
0.43	22.81	0.05	-2.3	0.28	0.01	0.03	0.001759266231	14
0.526	23.63	0.06	-1.99	0.36	0.12	0.05	0.551671793295	14
0.592	23.37	0.06	0.85	0.42	0.09	0.03	0.0	14
0.905	24.24	0.09	0.86	0.4	-0	0.08	0.860692933969	14
0.949	24.47	0.1	-0.27	0.54	0.13	0.09	9.00002294912e-12	14
0.4607	22.6	0.08	2.2	1.01	0.03	0.04	0.999972076003	14
0.3709	22.21	0.06	0.25	0.28	-0.04	0.03	0.000892345443	14
0.8	24.51	0.08	-1.68	0.52	-0.03	0.06	5.37990000327e-08	14
0.679	24.09	0.08	0.67	0.54	-0	0.05	0.999996816858	14
0.5817	23.55	0.06	-0.04	0.31	0.06	0.03	1.0	14
0.55	23.32	0.06	0.02	0.33	0.14	0.03	0.916905651559	14
0.81	24.23	0.08	0.09	0.41	0.07	0.06	0.399751945497	14
0.95	24.51	0.1	0.86	0.54	-0.03	0.09	0.620797641982	14
0.3373	21.93	0.04	1.1	0.19	0.02	0.02	1.0	14
0.91	24.67	0.1	-0.52	0.44	-0.16	0.08	0.551671793295	14
0.263	21.65	0.03	-1.01	0.17	0.09	0.02	0.0	14
0.643	23.78	0.07	0.04	0.27	0.03	0.04	0.474555440866	14
0.691	24.26	0.08	-1.83	0.55	0.1	0.07	0.551671793295	14
0.357	22.39	0.04	-0.08	0.16	0.09	0.02	0.99999988436	14
0.721	23.85	0.07	0.52	0.46	0.01	0.04	0.551671793295	14
0.581	23.32	0.06	0.29	0.32	-0.04	0.02	1.0	14
0.6268	23.35	0.06	0.83	0.21	-0.01	0.03	0.999411415446	14
0.818	24.63	0.09	-2.62	0.59	0.09	0.09	0.551671793295	14
0.4627	22.72	0.06	0.48	0.31	0.01	0.03	0.551671793295	14
0.449	22.54	0.06	-0.13	0.28	-0.07	0.03	0.0	14
0.688	23.58	0.07	-0.07	0.27	-0.07	0.03	0.551671793295	14
0.87	24.54	0.11	3.41	0.96	0.01	0.09	0.551671793295	14
0.5043	22.98	0.05	1.04	0.21	0.02	0.02	0.999977235075	14
0.591	23.4	0.1	2	0.92	-0.11	0.09	0.551671793295	15
0.426	22.62	0.06	-0.6	0.41	0.03	0.05	0.551671793295	15
0.329	22.53	0.13	0.34	0.77	0.21	0.12	0.551671793295	15
0.583	23.52	0.07	0.17	0.65	0.18	0.08	0.551671793295	15
0.519	23.64	0.08	0.8	1.04	-0.01	0.1	0.551671793295	15
0.401	22.45	0.06	0.65	0.39	0.05	0.06	0.551671793295	15
0.205	21.1	0.1	-0.3	0.2	0.19	0.08	0.551671793295	15
0.34	21.79	0.09	-0.05	0.45	-0.06	0.07	0.551671793295	15
0.436	22.46	0.06	0.22	0.39	-0.04	0.05	0.551671793295	15
0.363	21.89	0.06	1.09	0.28	-0.09	0.05	0.551671793295	15
0.436	22.5	0.06	1.76	0.44	0.03	0.06	0.551671793295	15
0.309	22.37	0.1	-1.84	0.36	0.11	0.09	0.551671793295	15
0.342	22.09	0.06	0.37	0.36	0.02	0.04	0.551671793295	15
0.159	21.07	0.15	0.03	0.37	0.39	0.13	0.551671793295	15
0.332	22.4	0.09	-2.38	1.06	0.06	0.08	0.551671793295	15
0.469	22.57	0.09	2.01	1.63	-0.1	0.09	0.551671793295	15
0.239	21.77	0.07	-0.34	0.25	0.31	0.06	0.551671793295	15
0.352	22.73	0.06	-2.08	0.61	0.14	0.06	0.551671793295	15
0.612	23.45	0.08	1.04	0.62	0.03	0.07	0.551671793295	15
0.631	23.35	0.06	-0.44	0.6	0.09	0.05	0.551671793295	15
0.645	23.32	0.08	-0.38	0.43	-0.1	0.06	0.551671793295	15
0.429	22.63	0.05	-1.1	0.35	-0.04	0.04	0.551671793295	15
0.497	22.88	0.07	-0.54	0.37	0.02	0.06	0.551671793295	15
0.539	23.27	0.06	-1.45	0.5	0.07	0.06	0.551671793295	15
0.561	23.1	0.07	2.45	1.22	-0.07	0.06	0.551671793295	15
0.41	22.34	0.07	-1	0.64	0.07	0.09	0.551671793295	15
0.412	22.82	0.13	-0.01	1.03	0.28	0.13	0.551671793295	15
0.599	23.76	0.1	-3.25	1.08	-0.03	0.13	0.551671793295	15
0.619	23.44	0.07	1.24	0.36	-0.07	0.06	0.551671793295	15
0.422	22.4	0.07	-1.19	0.47	-0.07	0.07	0.551671793295	15
0.54	23.29	0.07	-0.59	0.76	0	0.08	0.551671793295	15
0.401	23.07	0.1	2.55	1.72	0.05	0.11	0.551671793295	15
0.218	21.39	0.09	1.34	0.33	0.31	0.08	0.551671793295	15
0.633	23.14	0.07	-0.22	0.53	0.09	0.07	0.551671793295	15
0.383	22.33	0.09	-2.04	0.42	-0.11	0.09	0.551671793295	15
0.302	23.19	0.13	1.53	0.7	0.55	0.11	0.551671793295	15
0.34	22.26	0.08	0.48	0.43	0.22	0.07	0.551671793295	15
0.51	22.8	0.06	0.21	0.44	0.1	0.05	0.551671793295	15
0.421	23.07	0.18	2.46	1.06	0.22	0.14	0.551671793295	15
0.399	23.43	0.11	-2.84	0.81	0.36	0.12	0.551671793295	15
0.493	22.96	0.08	1.44	0.6	0.12	0.08	0.551671793295	15
0.687	23.4	0.1	-0.05	0.89	-0.12	0.08	0.551671793295	15
0.687	23.48	0.08	0.73	0.65	0.01	0.07	0.551671793295	15
0.495	22.87	0.06	1.06	0.57	0.02	0.05	0.551671793295	15
0.603	23.47	0.07	-0.31	0.59	0.03	0.08	0.551671793295	15
0.421	22.4	0.07	1.36	0.66	-0.13	0.06	0.551671793295	15
0.348	22.59	0.06	-0.12	0.34	0.12	0.05	0.551671793295	15
0.213	22.06	0.1	-0.73	0.27	0.47	0.09	0.551671793295	15
0.344	21.71	0.06	-0.47	0.28	-0.09	0.05	0.551671793295	15
0.271	21.88	0.1	-0.04	0.94	0.26	0.1	0.551671793295	15
0.564	22.84	0.21	-0.63	1.41	-0.13	0.19	0.551671793295	15
0.274	22.02	0.07	-0.08	0.3	0.24	0.06	0.551671793295	15
0.181	20.37	0.11	0.16	0.2	0	0.1	0.551671793295	15
0.582	23.79	0.07	-0.44	0.85	-0.05	0.09	0.551671793295	15
0.68	23.68	0.07	1.45	0.85	0.1	0.07	0.551671793295	15
0.401	23.32	0.12	0.28	1.38	0.29	0.12	0.551671793295	15
0.416	23.91	0.11	-0.51	1.41	0.64	0.1	0.551671793295	15
0.286	22.48	0.11	0.54	0.86	0.26	0.09	0.551671793295	15
0.562	23.26	0.21	1	1.85	-0.15	0.12	0.551671793295	15
0.266	23.02	0.14	1.73	0.76	0.87	0.11	0.551671793295	15
0.314	21.89	0.1	-0.73	0.88	-0.05	0.08	0.551671793295	15
0.581	23.24	0.09	1.43	1.08	-0.39	0.11	0.551671793295	15
0.463	23.12	0.08	0.55	0.55	0.22	0.08	0.551671793295	15
0.341	21.61	0.08	-0.38	0.37	-0.05	0.06	0.551671793295	15
0.631	23.35	0.06	0.36	0.54	-0.08	0.04	0.551671793295	15
0.522	23.27	0.06	-0.81	0.55	-0.09	0.06	0.551671793295	15
0.368	21.95	0.05	-0.97	0.32	-0.14	0.04	0.551671793295	15
0.309	21.74	0.06	-1.97	0.52	-0.02	0.06	0.551671793295	15
0.528	23.27	0.11	1.11	1.68	0.13	0.11	0.551671793295	15
0.216	21.92	0.1	-0.54	0.29	0.3	0.09	0.551671793295	15
0.284	21.68	0.06	-1.12	0.27	0	0.05	0.551671793295	15
0.508	22.93	0.07	0.86	0.53	0.05	0.05	0.551671793295	15
0.781	24.04	0.1	-0.55	1.28	-0.07	0.13	0.551671793295	15
0.613	23.33	0.07	-0.31	0.57	-0.01	0.06	0.551671793295	15
0.278	21.69	0.07	-1.27	0.64	0.11	0.06	0.551671793295	16
0.477	22.74	0.06	0.76	0.39	0.03	0.04	0.551671793295	16
0.95	24.22	0.1	1.58	0.46	0.03	0.09	0.551671793295	16
1.057	24.74	0.12	-0.28	1.01	-0.06	0.07	0.551671793295	16
0.816	24.17	0.1	0.24	0.57	-0.08	0.18	0.551671793295	16
0.455	23.2	0.06	-1.44	0.68	-0	0.07	0.551671793295	16
1.02	24.93	0.1	-0.21	0.38	-0.06	0.05	0.551671793295	17
1.14	24.75	0.11	0.13	0.33	-0.1	0.03	0.551671793295	17
0.854	24.55	0.08	-1.15	0.44	0.04	0.05	0.551671793295	17
1.37	25.62	0.14	0.91	0.8	-0.01	0.04	0.551671793295	17
0.975	24.88	0.1	1.93	0.44	0.03	0.03	0.551671793295	17
0.97	24.99	0.09	-0.84	1.13	-0.11	0.06	0.551671793295	17
0.74	23.95	0.07	-0.11	0.21	-0.02	0.03	0.551671793295	17
1.39	26.02	0.14	-0.27	0.69	0.16	0.04	0.551671793295	17
0.46	23.73	0.08	0.13	0.42	0.36	0.06	0.551671793295	17
1.02	24.84	0.1	0.48	0.43	0.01	0.05	0.551671793295	17
1.12	25.1	0.11	0.08	0.37	-0.04	0.04	0.551671793295	17
1.23	26.07	0.12	-0.61	0.68	0.11	0.04	0.551671793295	17
1.19	25.65	0.14	-1.24	0.42	0.17	0.05	0.551671793295	17
0.839	24.15	0.1	-0.1	0.38	0.01	0.06	0.551671793295	17
1.01	24.93	0.12	3.58	1.23	-0.1	0.07	0.551671793295	17
0.521	23.08	0.07	1.1	0.57	0.05	0.04	0.551671793295	17
0.475	23.21	0.14	-1.2	0.35	0.11	0.13	0.551671793295	17
0.95	24.61	0.09	1.39	0.38	0.08	0.05	0.551671793295	17
1.3	25.68	0.12	0.18	0.35	-0.01	0.04	0.551671793295	17
1.305	25.53	0.15	-1.1	0.37	-0.02	0.06	0.551671793295	17
0.216	22.43	0.2	1.09	1.04	0.53	0.1	0.551671793295	17
0.735	24.08	0.09	-0.26	0.35	0.1	0.05	0.551671793295	17
1.14	25.37	0.12	-0.11	0.42	0.18	0.11	0.551671793295	17
1.307	26.33	0.17	-0.88	0.69	0.04	0.09	0.551671793295	17
1.265	25.75	0.12	0.22	0.52	0.05	0.04	0.551671793295	17
0.67	24.26	0.17	-1.2	0.38	0.11	0.09	0.551671793295	17
0.64	24.27	0.21	-0.95	0.96	0.21	0.12	0.551671793295	17
1.34	25.73	0.13	1.55	0.71	0.06	0.05	0.551671793295	17
0.84	24.34	0.08	-0.01	0.41	0.05	0.03	0.551671793295	17
0.935	24.48	0.1	-0.47	0.32	0.07	0.05	0.551671793295	17
0.953	24.71	0.15	0.14	0.85	-0.1	0.36	0.551671793295	18
1.124	25.37	0.11	0.65	0.65	0.07	0.05	0.551671793295	18
0.552	23.08	0.09	-1.15	0.26	-0.11	0.07	0.551671793295	18
0.671	23.79	0.07	0.46	0.29	0.06	0.04	0.551671793295	18
0.511	23.05	0.06	-0.31	0.27	-0.03	0.03	0.551671793295	18
1.03	24.79	0.1	1.3	0.41	0	0.04	0.551671793295	18
1.192	25.5	0.12	-1.45	0.68	0.06	0.08	0.551671793295	19
1.092	25.67	0.12	-2.66	0.65	0.26	0.08	0.551671793295	19
0.974	24.61	0.09	-0.35	0.33	0.01	0.05	0.551671793295	19
1.11	25.25	0.12	-2.09	1.31	-0.13	0.14	0.551671793295	19
1.35	25.44	0.14	0.15	0.64	-0.03	0.05	0.551671793295	19
0.85	24.35	0.09	0.58	0.31	0.09	0.07	0.551671793295	19
1.241	25.39	0.16	-3.12	1.11	-0.1	0.19	0.0	19
1.414	25.81	0.16	0.3	0.98	0.15	0.08	0.0	19
1.188	25.48	0.17	-2.15	1.33	-0.04	0.18	0.551671793295	19
1.017	25.2	0.12	-0.61	0.65	0.06	0.09	1.4752251e-05	19
1.315	25.68	0.13	-1.26	0.56	-0.06	0.06	0.551671793295	19
0.821	24.37	0.09	0.25	0.5	0.02	0.08	0.551671793295	19
1.215	25.79	0.16	-2.06	1.53	-0.16	0.2	0.000147652666	19
0.623	23.48	0.15	-0.76	0.89	0.07	0.12	0.551671793295	19
